"Player","Pos","DeflectionsPerGame"
"Victor Wembanyama","C","4.956521739130435"
"Anthony Davis","C","3.4285714285714284"
"Anthony Davis","C","3.3137254901960786"
"Walker Kessler","C","3"
"Chet Holmgren","C","2.9375"
"Jaren Jackson Jr.","C","2.77027027027027"
"Myles Turner","C","2.75"
"Brook Lopez","C","2.475"
"Nikola Jokić","C","2.4571428571428573"
"Jakob Poeltl","C","2.4035087719298245"
"Nic Claxton","C","2.3142857142857145"
"Robert Williams","C","2.3"
"Kristaps Porziņģis","C","2.238095238095238"
"Tari Eason","PF","2.5789473684210527"
"Draymond Green","PF","2.485294117647059"
"Evan Mobley","PF","2.4507042253521125"
"Scottie Barnes","PF","2.4"
"OG Anunoby","PF","2.364864864864865"
"Paul George","PF","2.317073170731707"
"Jaden McDaniels","PF","2.2439024390243905"
"P.J. Washington","PF","2.1578947368421053"
"Zion Williamson","PF","2.1333333333333333"
"Toumani Camara","PF","2.128205128205128"
"Kevin Durant","PF","2.0483870967741935"
"Shai Gilgeous-Alexander","PG","2.736842105263158"
"Dejounte Murray","PG","2.4193548387096775"
"Luka Dončić","PG","2.409090909090909"
"Jalen Suggs","PG","2.4"
"Luka Dončić","PG","2.2"
"James Harden","PG","2.189873417721519"
"Tyrese Maxey","PG","2.1538461538461537"
"Tyrese Haliburton","PG","2.1095890410958904"
"Kris Dunn","PG","2.0945945945945947"
"Luka Dončić","PG","2.0357142857142856"
"Fred VanVleet","PG","1.9833333333333334"
"De'Aaron Fox","PG","1.9111111111111112"
"Russell Westbrook","PG","1.9066666666666667"
"Amen Thompson","SF","2.6956521739130435"
"Jalen Johnson","SF","2.5555555555555554"
"Ausar Thompson","SF","2.3389830508474576"
"Herbert Jones","SF","2.3"
"Andrew Wiggins","SF","2.176470588235294"
"Peyton Watson","SF","2.073529411764706"
"Kawhi Leonard","SF","2.054054054054054"
"Kelly Oubre Jr.","SF","2.033333333333333"
"Bilal Coulibaly","SF","2.016949152542373"
"Jimmy Butler","SF","1.9333333333333333"
"Andrew Wiggins","SF","1.8333333333333333"
"Brandon Miller","SF","1.8148148148148149"
"Dyson Daniels","SG","3.736842105263158"
"Matisse Thybulle","SG","2.8"
"Josh Okogie","SG","2.3333333333333335"
"Keon Ellis","SG","2.3"
"Cason Wallace","SG","2.2794117647058822"
"Jalen Williams","SG","2.2753623188405796"
"Alex Caruso","SG","2.1666666666666665"
"Derrick White","SG","2"
"Dru Smith","SG","1.9285714285714286"
"Quentin Grimes","SG","1.9285714285714286"
"Josh Hart","SG","1.896103896103896"
"Devin Vassell","SG","1.828125"
"Anthony Edwards","SG","1.7974683544303798"
"Kyrie Irving","SG","1.78"
"Kyshawn George","SG","1.7352941176470589"
"Colby Jones","SG","1.7333333333333334"
"Kentavious Caldwell-Pope","SG","1.7272727272727273"
